,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Makakilo City,US,86.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
5,Matamoros,MX,93.31,broken clouds,25.5333,-103.25,Quinta Belem
6,Pandan,PH,83.71,overcast clouds,14.0453,124.1694,Bonifacio Lodge
7,Atuona,PF,76.78,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
11,San Patricio,US,90.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
12,Fort Saint James,CA,85.84,few clouds,54.4333,-124.25,The View Hotel
14,Saint George,US,94.24,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
17,High Level,CA,87.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
18,Nikolskoye,RU,64.29,clear sky,59.7035,30.7861,Tourist House - Sablino
19,Nemuro,JP,65.61,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
21,Touros,BR,75.61,few clouds,-5.1989,-35.4608,INN NEW HORIZON
22,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
23,Subate,LV,61.14,broken clouds,56.0062,25.9076,усадьба Казимирвалес | Kazimirvāles muiža
25,Rikitea,PF,72.55,broken clouds,-23.1203,-134.9692,People ThankYou
31,Linxia,CN,64.29,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
32,Conde,BR,72.86,clear sky,-7.2597,-34.9075,Pousada Beija Flor
33,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
34,Sitka,US,64.29,scattered clouds,57.0531,-135.33,Westmark Sitka
35,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
37,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
40,Dodge City,US,87.24,clear sky,37.7528,-100.0171,Windsor Inn & Suites
42,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
45,Manavalakurichi,IN,77.31,overcast clouds,8.1333,77.3,Jebinrio home
46,Pasaje,EC,73.11,broken clouds,-3.3333,-79.8167,Finca Huaylala
47,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
49,Nouadhibou,MR,73.38,broken clouds,20.931,-17.0347,El Medina
51,Jamestown,US,80.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
52,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
54,Cabatuan,PH,80.49,broken clouds,10.8794,122.486,MVC Transient Room
55,Ornskoldsvik,SE,61.75,fog,63.2909,18.7153,ファーストホテル スタット
57,Soe,ID,68.9,clear sky,-9.8607,124.284,Dena Hotel
59,Biak,ID,77.47,overcast clouds,-0.9131,122.8766,Penginapan Kim
60,Bethalto,US,86.09,scattered clouds,38.9092,-90.0407,Town & Country Lakes
61,Boa Viagem,BR,79.83,broken clouds,-5.1275,-39.7322,Inn and Steakhouse Aconchego
62,Haradok,BY,64.51,broken clouds,55.4624,29.9816,Sportivnyy Gorodok
63,Yuzhno-Kurilsk,RU,64.44,overcast clouds,44.0306,145.8556,Guesthouse Berloga
65,Guerrero Negro,MX,76.5,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
66,Ribeira Grande,PT,72.23,clear sky,38.5167,-28.7,Quinta da Meia Eira
67,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
71,Ambanja,MG,71.24,light rain,-13.6833,48.45,Hotel Salama and Fast Food
74,Okitipupa,NG,71.65,light rain,6.5047,4.7839,Coastal Hotel & Suites
75,Faanui,PF,79.02,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
79,Altamira,BR,79.92,overcast clouds,-3.2033,-52.2064,Requinte Hotel
80,Bitung,ID,85.05,broken clouds,1.4451,125.1824,K2 Lembeh
81,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Paraiso,CR,72.46,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
83,Flin Flon,CA,80.92,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
84,Bardiyah,LY,78.6,clear sky,31.7561,25.0865,بورتو بردية
85,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
89,Carnarvon,AU,64.74,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
90,Arraial Do Cabo,BR,64.9,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
92,Parakou,BJ,69.49,overcast clouds,9.3372,2.6303,Benin Metropole Hotel
93,Coolum Beach,AU,70.34,clear sky,-26.5333,153.1,Coolum Beach Resort
95,Carlisle,US,83.62,broken clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
97,Tyler,US,89.65,clear sky,32.3513,-95.3011,Quality Inn Tyler - Lindale
98,San Pedro,PH,81.63,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
103,Douentza,ML,74.89,light rain,14.9951,-2.9517,Ogomono Doumbo
104,La Reforma,MX,85.73,scattered clouds,25.0833,-108.05,Hotel Reforma
105,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Paradise Inn
108,Xinzhou,CN,68.92,scattered clouds,38.4092,112.7333,Shell Hotel - Xinzhou
109,Am Timan,TD,71.19,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
110,Sakaiminato,JP,84.18,broken clouds,35.55,133.2333,Italian pasley
112,Bethel,US,82.54,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
113,Pacific Grove,US,79.02,broken clouds,36.6177,-121.9166,Lovers Point Inn
118,Bivolari,RO,73.2,light rain,47.5333,27.4333,epure elena catalina
120,Bengkulu,ID,75.67,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
122,Kiunga,PG,74.34,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
126,Gusau,NG,71.82,light rain,12.1628,6.6614,GUEST INN
127,Sept-Iles,CA,73.92,broken clouds,50.2001,-66.3821,Comfort Inn
128,Lagoa,PT,71.1,clear sky,39.05,-27.9833,Casa Das Faias
129,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
130,Buala,SB,82.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
131,Musoma,TZ,71.71,scattered clouds,-1.5,33.8,New Peninsula Hotel
133,Barcelos,PT,75.69,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
134,Vieste,IT,74.66,overcast clouds,41.8825,16.175,Hotel Falcone
135,Hamilton,US,83.25,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
138,San Isidro,PE,66.02,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
139,Miracema Do Tocantins,BR,81.27,clear sky,-9.5618,-48.3967,Miami Apart Hotel
140,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
142,Salalah,OM,75.29,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Vao,NC,68.97,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
144,Bodden Town,KY,86.94,few clouds,19.2833,-81.25,Will T Place
145,Beeville,US,91.29,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
146,Kalpi,IN,85.35,heavy intensity rain,26.1167,79.7333,DRx. Bablu yadav
147,Sao Joao Da Barra,BR,66.79,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
148,Price,US,67.26,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
149,Mehamn,NO,64.31,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
151,West Bay,KY,87.01,few clouds,19.3667,-81.4167,Calypso Cove
152,Broome,US,78.21,scattered clouds,42.2506,-75.833,Chenango Valley State Park
153,Butaritari,KI,81.07,clear sky,3.0707,172.7902,Isles Sunset Lodge
154,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
155,Totness,SR,79.2,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
156,Maningrida,AU,75.96,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
159,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
161,Ambilobe,MG,63.64,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
162,Letpadan,MM,76.42,overcast clouds,17.7833,95.75,AUNG MYO KYAW
163,Kati,ML,76.41,broken clouds,12.7441,-8.0726,Lingot d’or
164,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
166,Bhadrachalam,IN,76.69,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
167,California City,US,104.16,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
168,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
169,Huarmey,PE,62.47,clear sky,-10.0681,-78.1522,Hotel Miramar
170,Saint-Philippe,RE,66.22,scattered clouds,-21.3585,55.7679,Le four à pain
174,Lompoc,US,73.85,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
175,Jurmala,LV,71.62,clear sky,56.968,23.7704,Baltic Beach Hotel & SPA
176,Kloulklubed,PW,79.3,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
177,Dedougou,BF,70.86,light rain,12.4667,-3.4667,Hôtel Bon Séjour
178,Cherskiy,RU,64.99,clear sky,68.75,161.3,Gostinitsa
179,Asansol,IN,77.67,light rain,23.6833,86.9833,Hotel Paras
181,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
183,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
184,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
185,Fairbanks,US,63.61,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
187,Hami,CN,75.02,clear sky,42.8,93.45,Laoyutang Resort
188,Karratha,AU,67.93,clear sky,-20.7377,116.8463,ibis Styles Karratha
190,San Marcos,US,92.53,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
191,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
192,Wang Saphung,TH,77.02,moderate rain,17.301,101.7685,โรงแรมวังรีสอร์ท
193,Ikom,NG,71.15,overcast clouds,5.9667,8.7063,Ebenezer Beim excellence hotel
194,Susanville,US,93.04,clear sky,40.4163,-120.653,Comfort Inn & Suites
195,Tabuk,PH,79.34,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
197,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
198,Gushikawa,JP,87.03,clear sky,26.3544,127.8686,Kirari Guest House
200,Waingapu,ID,79.07,clear sky,-9.6567,120.2641,Pondok Wisata Elim
203,Gizo,SB,83.25,scattered clouds,-8.103,156.8419,Imagination Island
204,Hinganghat,IN,76.59,overcast clouds,20.5667,78.8333,Zambre Villa
205,Methoni,GR,83.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
206,Mocuba,MZ,69.78,clear sky,-16.8392,36.9856,Phama Lodge
207,Marrakesh,MA,87.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
208,Quatre Cocos,MU,71.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
214,Hobyo,SO,76.33,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
215,Coahuayana,MX,85.28,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
216,Maribo,DK,64.94,overcast clouds,54.7766,11.5002,Ebsens Hotel & Restaurant
217,Xunchang,CN,78.87,overcast clouds,28.4543,104.715,Jiabin Inn
221,Haines Junction,CA,64.35,broken clouds,60.7522,-137.5108,Parkside Inn
223,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
224,Gulu,UG,63.9,light rain,2.7746,32.299,ACHOLI INN
225,Takaka,NZ,61.75,broken clouds,-40.85,172.8,Golden Bay Motels
226,Manavgat,TR,80.38,clear sky,36.7867,31.4431,Lake & River Side Hotel & Spa
228,Bilma,NE,90.73,few clouds,18.6853,12.9164,Expeditions Ténére voyages
229,Valley City,US,77.52,few clouds,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
230,Istok,XK,71.55,scattered clouds,42.7808,20.4875,Hotel TROFTA
232,Wanxian,CN,89.56,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
233,Bosaso,SO,90.95,clear sky,11.2842,49.1816,Red Sea Hotel
234,Cabo San Lucas,MX,89.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Gemena,CD,68.97,light rain,3.25,19.7667,Hôtel Goshen
239,Sao Filipe,CV,77.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
240,Whitstable,GB,64.31,few clouds,51.3607,1.0257,Marine Hotel
241,Nicoya,CR,77.7,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
242,Sparti,GR,79.95,clear sky,37.0733,22.4297,Maniatis Hotel
243,Ayacucho,PE,67.86,clear sky,-13.1583,-74.2239,Hotel Incasol
244,Iquitos,PE,73.44,thunderstorm with light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
245,Lorengau,PG,83.17,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Mayumba,GA,71.08,broken clouds,-3.432,10.6554,LIKWALE LODGE
249,Port Keats,AU,75.96,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
250,Mont-Dore,NC,73.38,few clouds,-22.2833,166.5833,GIte
252,Labuhan,ID,76.23,scattered clouds,-6.8844,112.2051,DoubleFAG
253,Jalu,LY,81.66,clear sky,29.0331,21.5482,صاحبة الفخامة
254,Belaya Rechka,RU,70.23,broken clouds,43.4381,43.535,Korona
258,Yellowknife,CA,77.52,smoke,62.456,-114.3525,The Explorer Hotel
259,Abnub,EG,82.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
262,Pemangkat,ID,79.09,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
264,Puerto Leguizamo,CO,72.37,broken clouds,-0.1934,-74.7819,la casona de juancho
265,Koudougou,BF,71.35,overcast clouds,12.25,-2.3667,VAREK OCADES
266,San Quintin,MX,73.0,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
267,Jieshi,CN,83.35,few clouds,22.8134,115.8257,Yuehai Hotel
270,Karonga,MW,70.93,clear sky,-9.9333,33.9333,Sumuka Inn
271,Cururupu,BR,76.28,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
273,Sakakah,SA,92.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
275,Roald,NO,62.17,broken clouds,62.5833,6.1333,Flem Cabins
277,Berlevag,NO,64.35,broken clouds,70.8578,29.0864,Kvitbrakka
281,Winnemucca,US,87.85,few clouds,40.973,-117.7357,Winners Inn Casino
282,Kavieng,PG,83.93,broken clouds,-2.5744,150.7967,Nusa Island Retreat
283,Faya,SA,64.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
284,Hay River,CA,75.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
285,Campbell River,CA,82.6,thunderstorm with light rain,50.0163,-125.2446,Anchor Inn & Suites
286,Noumea,NC,73.38,few clouds,-22.2763,166.4572,Hôtel Le Lagon
288,Kirakira,SB,84.18,broken clouds,-10.4544,161.9205,SanBiz Lodge
289,Diffa,NE,75.99,overcast clouds,13.3154,12.6113,ProDAF/Diffa
290,Torbay,CA,67.57,broken clouds,47.6666,-52.7314,Gallows Cove
291,Pahrump,US,101.44,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
292,Sorong,ID,78.96,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
293,Katsuura,JP,78.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
294,Mitsamiouli,KM,74.62,light rain,-11.3847,43.2844,Foyer ADM
295,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
296,Requena,ES,65.79,clear sky,39.4883,-1.1004,Hotel Avenida
297,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
300,Misratah,LY,82.26,clear sky,32.3754,15.0925,Almasa Hotel
302,Lodwar,KE,83.16,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
303,Beyneu,KZ,70.41,broken clouds,45.3167,55.2,NUR
304,Kieta,PG,84.87,clear sky,-6.2167,155.6333,Uruna Bay Retreat
305,Vila Velha,BR,67.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
306,Rock Sound,BS,84.49,few clouds,24.9,-76.2,Pink Corral Bay Property
307,Olinda,BR,74.93,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
308,Lar,IN,79.79,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
309,Nizwa,OM,88.02,scattered clouds,22.9333,57.5333,Orient Apartments
311,Shahreza,IR,67.64,clear sky,32.0339,51.8794,خوابگاه
313,Elk City,US,93.18,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
314,Mikhaylovka,RU,64.78,overcast clouds,50.06,43.2379,5 Komnat
315,Southampton,GB,61.02,clear sky,50.904,-1.4043,Leonardo Royal Southampton Grand Harbour
316,Senador Jose Porfirio,BR,81.88,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
318,Naze,JP,85.12,overcast clouds,28.3667,129.4833,Shishime Hotel
319,Mareeba,AU,72.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
320,Andrushivka,UA,61.0,broken clouds,50.0229,29.0202,Клопарня
321,Pisco,PE,60.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
322,Wete,TZ,70.54,clear sky,-5.0559,39.7294,Sharook Riviera Grand Lodge
324,Bairiki,KI,80.49,clear sky,1.3292,172.9752,Tarawa Boutique Hotel
325,Mount Isa,AU,62.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
327,Trnava,SK,69.58,overcast clouds,48.3774,17.5872,Hotel EMPIRE
331,Galle,LK,78.06,overcast clouds,6.0367,80.217,Amangalla
333,Karoi,ZW,63.88,clear sky,-16.8099,29.6925,Chikangwe Guest houses
336,Kishtwar,IN,67.15,broken clouds,33.3167,75.7667,Heritage Bagh by Himalayan Musk
338,Atherton,GB,60.35,few clouds,53.5237,-2.4935,The Mercury Motel
339,Atambua,ID,74.35,clear sky,-9.1061,124.8925,Kost Alfa Flat
340,La Ronge,CA,82.62,few clouds,55.1001,-105.2842,Northland Motor Hotel
341,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
342,Kerema,PG,77.63,overcast clouds,-7.9631,145.7785,Frena Lodge
343,Benjamin Hill,MX,76.33,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
346,Delijan,IR,77.52,scattered clouds,33.9905,50.6838,ایزوگام آسیاگستر
347,Mandalgovi,MN,63.52,clear sky,45.7625,106.2708,В.Ганбат
348,Ruwi,OM,89.29,broken clouds,23.5996,58.5507,Al Falaj Hotel
349,Yarmouth,US,78.91,clear sky,41.7057,-70.2286,Blue Rock Resort
351,Saint-Paul,RE,69.89,few clouds,-21.0096,55.2707,Boucan Canot
352,El Sauzal,MX,73.42,few clouds,31.9,-116.6833,Hotel Las Rosas & Spa
353,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
359,Amargosa,BR,61.75,scattered clouds,-13.0303,-39.6047,Hotel Amargosa
360,Mezen,RU,61.54,clear sky,65.8522,44.24,Gostevoy Dom Everest
361,Fereydun Kenar,IR,79.99,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
363,Hutchinson,US,91.35,scattered clouds,38.0608,-97.9298,Hampton Inn Hutchinson
